"Plot8"
"Time (sec)","Linear Displacement4 (mm)"
0,45.8017264258171
0.0004,45.8958777618649
0.0008,45.9551233510538
0.0012,45.9864545316728
0.0016,45.9982798896408
0.002,46.0000687191439
0.0024,45.9999859817507
0.0028,46.0000010264079
0.0032,46.0000004116017
0.0036,45.9999993951635
0.004,46.0000020986748
0.0044,45.9999916138305
0.0048,46.0000140380986
0.0052,46.0000891437547
0.0056,45.9917383206617
0.006,45.9486476424434
0.0064,45.8688617952167
0.0068,45.752704797382
0.0072,45.6008619517253
0.0076,45.4137568304566
0.008,45.1920974398466
0.0084,44.9367176369732
0.0088,44.6485767088699
0.0092,44.3287546822867
0.0096,43.9784470940345
0.01,43.5989593970466
0.0104,43.1917010008809
0.0108,42.7581787016582
0.0112,42.299989717035
0.0116,41.8188145214017
0.012,41.3164092981065
0.0124,40.7945977212194
0.0128,40.2552632872488
0.0132,39.7003406360827
0.0136,39.1318074576981
0.014,38.5516762167253
0.0144,37.9619860947556
0.0148,37.3647951864778
0.0152,36.7621730769629
0.0156,36.1561939978979
0.016,35.5489305414727
0.0164,34.9424481191036
0.0168,34.3388004552062
0.0172,33.740026172998
0.0176,33.1481472143593
0.018,32.5651677478467
0.0184,31.9930771461491
0.0188,31.4338518993071
0.0192,30.8894635437519
0.0196,30.3618859564209
0.02,29.8531083988776
0.0204,29.3651500505556
0.0208,28.9000807156083
0.0212,28.4600439879879
0.0216,28.0472836106313
0.022,27.6641726051803
0.0224,27.3132452785382
0.0228,26.9972223426016
0.0232,26.7190195374358
0.0236,26.4817293566686
0.024,26.28854301649
0.0244,26.1425889095454
0.0248,26.0466729558635
0.0252,26.0028410192024
0.0256,26.0001209494515
0.026,25.9999686563881
0.0264,26.0000051336787
0.0268,25.9999996275597
0.0272,26.000000003961
0.0276,26.0000006510947
0.028,25.999996337861
0.0284,26.0000142531498
0.0288,26.0000340911299
0.0292,26.0025422925771
0.0296,26.0131888394857
0.03,26.0379290425102
0.0304,26.0820739342312
0.0308,26.1502081996718
0.0312,26.2459362067552
0.0316,26.3717142286653
0.032,26.5287840551581
0.0324,26.7172612194507
0.0328,26.9363130567064
0.0332,27.1843818301579
0.0336,27.4594062947286
0.034,27.7589965592934
0.0344,28.0805656617737
0.0348,28.4214166266
0.0352,28.7787974486163
0.0356,29.1499344715532
0.036,29.5320521283972
0.0364,29.9223852442683
0.0368,30.3181888566365
0.0372,30.7167452241192
0.0376,31.115374412889
0.038,31.5114434029408
0.0384,31.9023785373296
0.0388,32.2856797597873
0.0392,32.6589362140766
0.0396,33.019843832023
0.04,33.3662248404703
0.0404,33.6960479061136
0.0408,34.0074491995381
0.0412,34.2987553129664
0.0416,34.5685059626576
0.042,34.8154778527952
0.0424,35.0387090155349
0.0428,35.2375242996358
0.0432,35.4115617563962
0.0436,35.5608006128716
0.044,35.6855913783916
0.0444,35.7866889772695
0.0448,35.865289886862
0.0451999999999999,35.9230752784446
0.0455999999999999,35.9622627792002
0.0459999999999999,35.9856663749165
0.0463999999999999,35.9967862631231
0.0467999999999999,35.9998744797369
0.0471999999999999,35.9999924252535
0.0475999999999999,36.0000046704166
0.0479999999999999,35.9999945283217
0.0483999999999999,36.0000239129552
0.0487999999999999,36.0000570499989
0.0491999999999999,36.0045059506519
0.0495999999999999,36.0240272942678
0.0499999999999999,36.0708258874605
0.0503999999999999,36.1568429246785
0.0507999999999999,36.2928999387954
0.0511999999999999,36.4874576691333
0.0515999999999999,36.7454694430225
0.0519999999999999,37.0678730203056
0.0523999999999999,37.4518148754428
0.0527999999999999,37.89148481441
0.0531999999999999,38.3791123866677
0.0535999999999999,38.9057402848922
0.0539999999999999,39.4618096487375
0.0543999999999999,40.0375490623717
0.0547999999999999,40.623236302856
0.0551999999999999,41.2093951680215
0.0555999999999999,41.7869614136337
0.0559999999999999,42.347435158998
0.0563999999999999,42.8830245210903
0.0567999999999999,43.3867831898192
0.0571999999999999,43.8527338434038
0.0575999999999999,44.2759824147257
0.0579999999999999,44.6528133636414
0.0583999999999999,44.9807692204723
0.0587999999999999,45.2587126907877
0.0591999999999999,45.4868721406148
0.0595999999999999,45.6668687644838
0.06,45.8017280140088
